Post ID,Legacy ID,Post URL,Facebook URL,Input URL,Time Posted,User ID,User Name,Post Text,Group Title,Facebook ID,Likes Count,Shares Count,Comments Count,Reaction Like Count,Reaction Love Count,Reaction Wow Count,Reaction Care Count,Reaction Haha Count,Reaction Sad Count,Top Reactions Count,Feedback ID,Has Attachments,Attachment Count,Has Top Comments,Top Comments Count,Scraped At,Scraped Date,Scraped Time,Attachments Info,Top Comments,Source Type
UzpfSTEwMDAwNzM1ODA4OTA2OTpWSzo5Njc2MTkzNDcyNDU2NjEw,9676193472456610,https://www.facebook.com/groups/118835848192468/permalink/9676193472456610/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-27T13:54:33.000Z,100007358089069,Sourov Liton,ডাচ বাংলা ব্যাংক লিমিটেড ক্রেডিট কার্ড পাইতে হইলে কত টাকা স্যালারি লাগে এবং কিভাবে পাওয়া যায়,DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,92,1,34,91,1,0,0,0,0,2,ZmVlZGJhY2s6OTY3NjE5MzQ3MjQ1NjYxMA==,No,0,Yes,2,2025-06-18 11:47:31,2025-06-18,11:47:31,,[0 likes] MD Aduod Bhiyan: স্বরবর্ণ ৩০০০০... | [0 likes] Ubaydur Rahman Shahin: এটা কি সত্য যে বিকাশের বিনিময় থেকে ডাচ-বাংলার বিনিময়ে হাজারে পাঁচ টাকা চার্জ কাটে ? প্লিজ জানা থাক...,
UzpfSTEwMDAwNzg3NDUwMTY0MDpWSzo5Njc2NTQ0NTA1NzU0ODQw,9676544505754840,https://www.facebook.com/groups/118835848192468/permalink/9676544505754840/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-27T17:48:01.000Z,100007874501640,Salam Hosain,সেলারি ৪০k বা বেশি হলে। ৩/৪ বছর মেয়াদে কি? লোন পাওয়া যাবে।,DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,32,0,30,32,0,0,0,0,0,1,ZmVlZGJhY2s6OTY3NjU0NDUwNTc1NDg0MA==,No,0,Yes,2,2025-06-18 11:47:31,2025-06-18,11:47:31,,"[2 likes] Rajib Ali: Private job হলে---- না। 
Government job হলে ১৫০০০ Salary হলেও Loan দিবে।... | [2 likes] নীল আকাশ: Inbox me
Dbbl...",
UzpfSTEwMDAwMjY5OTA5Mjc2MTpWSzo5Njc2ODU1MjI5MDU3MTAx,9676855229057101,https://www.facebook.com/groups/118835848192468/permalink/9676855229057101/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-27T17:47:52.000Z,100002699092761,Ahsan Habib,শাহজাহানপুর কোরবানি পশুর হাটের আশেপাশে DBBL এর কোন শাখা বা এজেন্ট ব্যাংকিং আছে কিনা। কারো জানা থাকলে জানাবেন।,DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,4,0,0,4,0,0,0,0,0,1,ZmVlZGJhY2s6OTY3Njg1NTIyOTA1NzEwMQ==,No,0,No,0,2025-06-18 11:47:31,2025-06-18,11:47:31,,,
UzpfSTEwMDA5MTY1OTAyMTA1ODpWSzo5Njc1NTQ1MzY5MTg4MDg3,9675545369188087,https://www.facebook.com/groups/118835848192468/permalink/9675545369188087/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-27T13:54:53.000Z,100091659021058,Atik Jomadder,"মে মাসের ২৭ তারিখে বাকেরগঞ্জ ডাচ বাংলা এটিএম থেকে টাকা উত্তোলনের সময় আমার ৯৫০০ টাকা কেটে নেয়।
 
এর করনীয় কি কেউ জানলে আমাকে মেসেজে একটু বলবেন।  
 তাহলে একটু উপকৃত হতাম। ♥️",DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,15,0,14,13,0,0,0,0,2,2,ZmVlZGJhY2s6OTY3NTU0NTM2OTE4ODA4Nw==,No,0,Yes,2,2025-06-18 11:47:31,2025-06-18,11:47:31,,"[2 likes] Zunki Islam: Atm tk kate nh Atkay Ft sir k bolsen? Akta frm dibe oita filup kore dile tk gula koydin por apnr acc... | [1 likes] Md. Jahed Parves: প্রথমে একাউন্ড বন্ধ করে অন্য ব্যাংকে চলে যান,এর পর কল সেন্টারে অভিযোগ করেন।...",
UzpfSTEwMDAwMzIzODA1MTAzOTpWSzo5NjY3Nzk1ODc2NjI5NzAz,9667795876629703,https://www.facebook.com/groups/118835848192468/permalink/9667795876629703/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-26T07:05:40.000Z,100003238051039,Arman Shovon,,DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,34,0,1,20,5,0,1,7,0,5,ZmVlZGJhY2s6OTY2Nzc5NTg3NjYyOTcwMw==,No,0,Yes,1,2025-06-18 11:47:31,2025-06-18,11:47:31,,[0 likes] Md Sunam Sarker: What's a Circus 🤡🤣...,
UzpfSTEwMDA1MTE0MDQzNDA2MDpWSzo5NjYxODg3ODA3MjIwNTEw,9661887807220510,https://www.facebook.com/groups/118835848192468/permalink/9661887807220510/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-26T05:55:36.000Z,100051140434060,SA ßß IR,এটা কিসের জন্য আসে এবং এর সমাধান কি,DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,4,0,6,4,0,0,0,0,0,1,ZmVlZGJhY2s6OTY2MTg4NzgwNzIyMDUxMA==,Yes,3,Yes,2,2025-06-18 11:47:31,2025-06-18,11:47:31,Unknown: https://www.facebook.com/media/set/?set=pcb.9661887807220510&type=1 | Photo: No URL (OCR: May be an image of text that says '3:14 3:14VPrantor101 KB/ Prantor 101 $4 4 ០ំ០ាច Error Duplicate R...) | Photo: No URL (OCR: May be an image of ‎text that says '‎3:14 iket Dr Pra KBлR مالاة রকেট Error! Duplicate Record Alread...),"[2 likes] Nayem Islam: সাহায্যের জন্য পোস্ট 
আমি ২৪ এপ্রিল ডাচ্ বাংলা এর নেক্সাস পে থেকে( NPSB) করে আমার নিজের যমুনা ব্যাংক... | [0 likes] ΜαΗεδι Ηαξξαη αηικ: আপনার এন আইডির কাডের ইনফরমেশন চাচ্ছে আপনার এন আইডি কাডের ইনফরমেশন সাবমিট করুন তাহলে আর এ সমস্যা হবে ...",
UzpfSTEwNDE5OTI4MDEyMTYzMjk6Vks6OTY2MTkxODI0NzIxNzQ2Ng==,9661918247217466,https://www.facebook.com/groups/118835848192468/permalink/9661918247217466/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-26T05:55:30.000Z,1041992801216329,Anonymous participant,আমি একাউন্ট বন্ধ করে দিব এই টাকা পাব কিভাবে জানতে চাই?,DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,57,0,89,54,1,0,0,2,0,3,ZmVlZGJhY2s6OTY2MTkxODI0NzIxNzQ2Ng==,Yes,1,Yes,2,2025-06-18 11:47:31,2025-06-18,11:47:31,Photo: https://www.facebook.com/1041992801216329/photos/gm.9661918247217466/632538082578957/?type=3 (OCR: May be an image of text that says '3:24 f 3.00 KEUS 4G+ mil Balance Details ATM Shopping Card Dutch-...),"[12 likes] T. M. Adib Mahamud: যে ব্রাঞ্চে আপানার একাউন্ট, সেই ব্রাঞ্চে গিয়ে বলবেন একাউন্ট ক্লোজ করবেন। সাথে একাউন্ট এর চেক আর এটিএ... | [0 likes] AH Tipu: আপনি একাউন্ট বন্ধ করতে চাইলে, যেই শাখার একাউন্ট। সেই শাখায় গিয়ে, একাউন্ট বন্ধ করার জন্য ফরম পূরন করত...",
UzpfSTE0MDM1ODMyMjQzMTEyNTU6Vks6OTY2MjA2Njg0Mzg2OTI3Mw==,9662066843869273,https://www.facebook.com/groups/118835848192468/permalink/9662066843869273/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-26T05:55:27.000Z,1403583224311255,Anonymous participant,ATM Card কিভাবে active  করতে হয়?,DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,3,0,3,3,0,0,0,0,0,1,ZmVlZGJhY2s6OTY2MjA2Njg0Mzg2OTI3Mw==,No,0,Yes,1,2025-06-18 11:47:31,2025-06-18,11:47:31,,[0 likes] Said Ahmed: হাতে পাওয়ার ২৪ ঘন্টা পর অটোমেটিকলি একটিভ হয়ে যায়...,
UzpfSTEwMDAyOTA2MjM0MDU2MTpWSzo5NjYyNzY3MzAwNDY1ODk0,9662767300465894,https://www.facebook.com/groups/118835848192468/permalink/9662767300465894/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-26T05:55:21.000Z,100029062340561,Atikur Rahman Atik,ডাচ বাংলা  মোবাইল  ব্যাংকি অফিসে গ্রাহক না আসাই ভিডিও কলে কথা বলাতে চাই। এমন গ্রাহক সাথে রাগ করা ঠিক হবে না বুঝাতে হবে ব্যাংক কর্মকর্তাদের।,DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,26,0,0,26,0,0,0,0,0,1,ZmVlZGJhY2s6OTY2Mjc2NzMwMDQ2NTg5NA==,No,0,No,0,2025-06-18 11:47:31,2025-06-18,11:47:31,,,
UzpfSTEwMDAxMDUxMjYzNjg5NTpWSzo5NjYzMzUzODAwNDA3MjQ0,9663353800407244,https://www.facebook.com/groups/118835848192468/permalink/9663353800407244/,https://www.facebook.com/groups/118835848192468,https://www.facebook.com/groups/118835848192468,2025-05-26T05:55:18.000Z,100010512636895,Tohidul Islam,"আমার Monthly Transaction Limit কত সেটা Nexus App এ কিভাবে দেখবো? 

নাকি ব্যাংক এ গিয়ে যোগাযোগ করতে হবে?",DBBL (Dutch-Bangla Bank Limited) Account Holders,118835848192468,0,0,0,0,0,0,0,0,0,0,ZmVlZGJhY2s6OTY2MzM1MzgwMDQwNzI0NA==,No,0,No,0,2025-06-18 11:47:31,2025-06-18,11:47:31,,,
